16 16
1 1 139.118
1 2 136.954
1 3 118.263
1 4 159.377
1 5 51.0978
1 6 61.4658
1 7 64.8389
1 8 228.315
1 9 93.3548
1 10 28.466
1 11 201.887
1 12 16.607
1 13 18.2494
1 14 98.1597
1 15 74.0107
1 16 63.0133
2 1 77.6982
2 2 132.731
2 3 206.238
2 4 189.607
2 5 150.773
2 6 50.2244
2 7 164.038
2 8 14.208
2 9 57.7558
2 10 128.721
2 11 240.279
2 12 145.346
2 13 179.434
2 14 45.6691
2 15 135.926
2 16 223.719
3 1 22.1637
3 2 69.3709
3 3 234.031
3 4 125.22
3 5 250.319
3 6 140.361
3 7 186.856
3 8 12.9005
3 9 214.008
3 10 207.376
3 11 174.1
3 12 31.7543
3 13 212.336
3 14 84.1807
3 15 106.003
3 16 142.332
4 1 195.528
4 2 86.7645
4 3 44.3524
4 4 167.847
4 5 5.10604
4 6 68.261
4 7 32.4727
4 8 76.2753
4 9 251.049
4 10 157.935
4 11 114.942
4 12 185.408
4 13 192.3
4 14 92.3142
4 15 72.9537
4 16 26.0481
5 1 170.561
5 2 231.423
5 3 112.064
5 4 158.271
5 5 220.579
5 6 232.859
5 7 37.6168
5 8 55.2011
5 9 249.727
5 10 116.909
5 11 154.256
5 12 156.044
5 13 87.5896
5 14 215.782
5 15 2.57946
5 16 166.98
6 1 129.461
6 2 108.347
6 3 197.09
6 4 89.9834
6 5 96.1978
6 6 65.3072
6 7 252.541
6 8 169.123
6 9 227.601
6 10 160.545
6 11 94.7728
6 12 102.348
6 13 155.802
6 14 107.393
6 15 176.456
6 16 133.17
7 1 97.6955
7 2 147.566
7 3 4.56515
7 4 254.367
7 5 71.1507
7 6 216.313
7 7 173.463
7 8 178.777
7 9 52.9371
7 10 49.4712
7 11 126.669
7 12 48.9745
7 13 110.534
7 14 11.7635
7 15 23.5406
7 16 75.9682
8 1 36.0696
8 2 198.994
8 3 115.033
8 4 165.23
8 5 100.291
8 6 168.623
8 7 20.168
8 8 138.599
8 9 58.3392
8 10 137.573
8 11 141.577
8 12 99.5277
8 13 82.5237
8 14 134.613
8 15 205.608
8 16 237.596
9 1 117.885
9 2 211.335
9 3 196.6
9 4 202.29
9 5 182.056
9 6 62.8315
9 7 162.722
9 8 54.3483
9 9 80.3771
9 10 123.546
9 11 146.563
9 12 153.3
9 13 34.4727
9 14 230.511
9 15 219.492
9 16 203.897
10 1 17.7329
10 2 91.0009
10 3 204.972
10 4 73.5732
10 5 10.7868
10 6 184.326
10 7 209.183
10 8 188.87
10 9 236.548
10 10 217.798
10 11 247.732
10 12 24.347
10 13 149.93
10 14 172.341
10 15 29.9655
10 16 21.2299
11 1 42.1996
11 2 180.495
11 3 144.616
11 4 194.034
11 5 79.666
11 6 83.8254
11 7 243.225
11 8 239.143
11 9 1.81867
11 10 85.9665
11 11 200.529
11 12 90.3305
11 13 183.101
11 14 226.421
11 15 229.83
11 16 88.4357
12 1 224.932
12 2 190.341
12 3 248.383
12 4 6.47121
12 5 120.575
12 6 59.4412
12 7 104.925
12 8 43.6112
12 9 70.9615
12 10 9.6441
12 11 246.899
12 12 199.957
12 13 241.34
12 14 8.95391
12 15 143.105
12 16 78.0448
13 1 40.891
13 2 222.716
13 3 0.435477
13 4 193.9
13 5 33.915
13 6 218.886
13 7 56.1057
13 8 151.448
13 9 39.2374
13 10 124.019
13 11 38.5052
13 12 122.454
13 13 177.581
13 14 60.558
13 15 161.195
13 16 244.419
14 1 181.06
14 2 255.281
14 3 119.97
14 4 245.539
14 5 187.293
14 6 19.2298
14 7 130.06
14 8 15.067
14 9 53.7897
14 10 191.57
14 11 13.939
14 12 175.86
14 13 81.7154
14 14 171.175
14 15 101.891
14 16 109.547
15 1 233.122
15 2 35.0636
15 3 235.013
15 4 163.534
15 5 41.602
15 6 66.7107
15 7 30.1027
15 8 3.06475
15 9 208.714
15 10 95.9406
15 11 7.53594
15 12 127.621
15 13 47.0693
15 14 121.585
15 15 105.03
15 16 238.406
16 1 225.022
16 2 111.52
16 3 242.357
16 4 27.9144
16 5 67.9298
16 6 25.3374
16 7 148.643
16 8 152.4
16 9 113.725
16 10 46.9334
16 11 103.444
16 12 253.106
16 13 221.836
16 14 131.453
16 15 213.434
16 16 210.405
